iri,type,taskDescriptionName,mediaIri,mediaType,textValue,mediaLocation,denotes,descriptionType
proc:Task_23038_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23038,proc:Task_23038_text_0_description_media,ompd:Text,place the new spark plug into the cylinder head and tighten it by hand as much as you can .,,proc:Task_23038,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23038_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23038,proc:Task_23038_text_1_description_media,ompd:Text,tighten the spark plugs to 11 ft-lbs with a torque wrench .,,proc:Task_23038,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23039_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23039,proc:Task_23039_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/FrdvQoLOTQEGhW1V.standard,proc:Task_23039,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23039_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23039,proc:Task_23039_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/FqZw4gV1Lv61LLig.standard,proc:Task_23039,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23039_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23039,proc:Task_23039_text_0_description_media,ompd:Text,place the ignition coil and dust boot back over the spark plug by pushing down and twisting it into place .,,proc:Task_23039,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23039_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23039,proc:Task_23039_text_1_description_media,ompd:Text,reconnect the ignition coil electrical connector by snapping it back into place .,,proc:Task_23039,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23039_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23039,proc:Task_23039_text_2_description_media,ompd:Text,"after installing your new spark plugs , compare the old ones to a plug wear chart to determine if there are any issues with the way your engine is running . a similar chart can be found in the back of all haynes repair manuals .",,proc:Task_23039,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27942_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27942,proc:Task_27942_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/IlLIwljoLUn1SMaM.standard,proc:Task_27942,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27942_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27942,proc:Task_27942_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/u5VDgNByrGUpmPZx.standard,proc:Task_27942,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27942_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27942,proc:Task_27942_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/GtTUpoT5BUKlhvIc.standard,proc:Task_27942,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27942_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27942,proc:Task_27942_text_0_description_media,ompd:Text,let the engine run for a few minutes to warm up the oil before beginning .,,proc:Task_27942,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27942_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27942,proc:Task_27942_text_1_description_media,ompd:Text,pull the hood release latch at the front right of the tractor and lift the hood up .,,proc:Task_27942,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27943_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27943,proc:Task_27943_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/4wEYWUVmJZVVaiOH.standard,proc:Task_27943,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27943_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27943,proc:Task_27943_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/eDfFREBAgH2GNnhV.standard,proc:Task_27943,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27943_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27943,proc:Task_27943_text_0_description_media,ompd:Text,lift the hood prop bar from its seat and place it in the hooks on the underside of the hood .,,proc:Task_27943,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27944_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/yFmLg6aLd4Su1V3X.standard,proc:Task_27944,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27944_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/NfScaBWnWgfmyIsF.standard,proc:Task_27944,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27944_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/MFJHKJsZrTcThXmH.standard,proc:Task_27944,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27944_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_text_0_description_media,ompd:Text,the right side engine panel is held in place by two rotating tabs ( highlighted in red ) .,,proc:Task_27944,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27944_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_text_1_description_media,ompd:Text,pull each tab straight away from the panel and twist them 90 so that they fit through the slots in the panel .,,proc:Task_27944,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27944_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_text_2_description_media,ompd:Text,pull the top of the engine panel straight out until it is free from the tabs .,,proc:Task_27944,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27944_text_3_description,ompd:MaintenanceTaskDescription,task_description_Task_27944,proc:Task_27944_text_3_description_media,ompd:Text,lift the engine panel up to remove it and set it aside .,,proc:Task_27944,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27945_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/tOIsQ6UNdBSpdppE.standard,proc:Task_27945,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27945_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/nUbDxcDAvvhPuS64.standard,proc:Task_27945,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27945_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/kRyLeOa6n136snZx.standard,proc:Task_27945,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27945_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_text_0_description_media,ompd:Text,the drain plug is a 17 mm hex bolt located on the underside of the tractor .,,proc:Task_27945,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27945_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_text_1_description_media,ompd:Text,place an oil drain pan underneath the drain plug to catch the oil when it begins to drain .,,proc:Task_27945,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27945_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27945,proc:Task_27945_text_2_description_media,ompd:Text,use a 17 mm box end wrench to loosen the drain plug 3 /4 of a turn .,,proc:Task_27945,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27946_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27946,proc:Task_27946_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/OKWULjYZImpbrrLm.standard,proc:Task_27946,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27946_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27946,proc:Task_27946_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/GtIcgNJDPGJRTtgP.standard,proc:Task_27946,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27946_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27946,proc:Task_27946_text_0_description_media,ompd:Text,loosen the drain plug by hand until it comes out and oil begins to drain from the oil pan .,,proc:Task_27946,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27946_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27946,proc:Task_27946_text_1_description_media,ompd:Text,"you may consider using a bucket first to catch the oil , as it may not drain into the oil drain pan quickly , potentially leading to a spill .",,proc:Task_27946,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27946_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27946,proc:Task_27946_text_2_description_media,ompd:Text,watch the draining oil for shiny specks . small flakes of metal could indicate a problem with your tractor's engine internals .,,proc:Task_27946,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27947_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27947,proc:Task_27947_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/NEMXIcURvPYR1Nhx.standard,proc:Task_27947,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27947_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27947,proc:Task_27947_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/VReCnitxk4j6hiJl.standard,proc:Task_27947,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27947_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27947,proc:Task_27947_text_0_description_media,ompd:Text,"while the oil is draining , wipe off the drain plug with a clean rag or towel .",,proc:Task_27947,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27947_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27947,proc:Task_27947_text_1_description_media,ompd:Text,"remove the old drain plug gasket and replace it , making sure that the new gasket fits over the threads of the drain plug .",,proc:Task_27947,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27948_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/fGR21LXAts2YILSn.standard,proc:Task_27948,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27948_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/BetbWEOhCiVRmoLM.standard,proc:Task_27948,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27948_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/YwHTSgGhaiQhkPV3.standard,proc:Task_27948,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27948_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_text_0_description_media,ompd:Text,wipe down the area around the drain plug with a clean rag or towel .,,proc:Task_27948,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27948_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_text_1_description_media,ompd:Text,reinstall the drain plug and tighten it as much as you can by hand .,,proc:Task_27948,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27948_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_text_2_description_media,ompd:Text,use a 17 mm box end wrench to tighten the drain plug until it is snug .,,proc:Task_27948,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27948_text_3_description,ompd:MaintenanceTaskDescription,task_description_Task_27948,proc:Task_27948_text_3_description_media,ompd:Text,do not over-tighten the drain plug . doing so may strip the threads or crack the oil pan . you can always come back later and tighten the drain plug more if needed .,,proc:Task_27948,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27949_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/lElhZVrcLI2v2AVf.standard,proc:Task_27949,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27949_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/RVOVQlADZwVPRyZT.standard,proc:Task_27949,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27949_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/NAPNpsHQfKPlw2nU.standard,proc:Task_27949,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27949_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_text_0_description_media,ompd:Text,move the oil drain pan so that it is directly under the oil filter .,,proc:Task_27949,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27949_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_text_1_description_media,ompd:Text,remove the oil filter by turning it counterclockwise until it comes free .,,proc:Task_27949,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27949_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_text_2_description_media,ompd:Text,"if the filter is on too tightly to remove by hand , use an oil filter wrench to loosen it first , then continue to remove it by hand .",,proc:Task_27949,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27949_text_3_description,ompd:MaintenanceTaskDescription,task_description_Task_27949,proc:Task_27949_text_3_description_media,ompd:Text,place the oil filter with the open end facing down onto the oil drain pan to allow the old oil to drain out .,,proc:Task_27949,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27950_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/56dOStYUVObKfvl3.standard,proc:Task_27950,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27950_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/JApQ5eVa1uP44WEp.standard,proc:Task_27950,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27950_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/JPMYoiZjNsGKcSYH.standard,proc:Task_27950,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27950_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_text_0_description_media,ompd:Text,"dip a clean , gloved finger into a fresh bottle of oil and spread a thin layer of oil on the new oil filter's gasket .",,proc:Task_27950,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27950_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_text_1_description_media,ompd:Text,this layer of oil will help provide a good seal and make removing the filter at the next oil change easier .,,proc:Task_27950,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27950_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_text_2_description_media,ompd:Text,wipe off the oil filter threads and contact area on the engine with a clean rag or towel .,,proc:Task_27950,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27950_text_3_description,ompd:MaintenanceTaskDescription,task_description_Task_27950,proc:Task_27950_text_3_description_media,ompd:Text,place the new oil filter over the threads and turn it clockwise until it is snug .,,proc:Task_27950,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27951_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27951,proc:Task_27951_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/ASNjVVYu3NrFTMV5.standard,proc:Task_27951,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27951_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27951,proc:Task_27951_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/BXNo2sxnaRnpdYV4.standard,proc:Task_27951,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27951_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27951,proc:Task_27951_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/gPGSEXE6k4oxeAXc.standard,proc:Task_27951,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27951_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27951,proc:Task_27951_text_0_description_media,ompd:Text,the oil filler cap is located on top of the engine at the front of the valve cover ( highlighted in red ) .,,proc:Task_27951,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27951_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27951,proc:Task_27951_text_1_description_media,ompd:Text,twist the oil filler cap counterclockwise and remove it from the valve cover .,,proc:Task_27951,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27952_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/IMRFoyxEXVueTuLC.standard,proc:Task_27952,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27952_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/AkXcbrCNaMMHSpbh.standard,proc:Task_27952,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27952_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/VZuptNZTMVDhVg1c.standard,proc:Task_27952,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27952_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_text_0_description_media,ompd:Text,place a funnel in the oil filler hole .,,proc:Task_27952,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27952_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_text_1_description_media,ompd:Text,hold the funnel with one hand to steady it and pour 5.1 quarts of 15 w-40 oil into the funnel .,,proc:Task_27952,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27952_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27952,proc:Task_27952_text_2_description_media,ompd:Text,reinstall the oil filler cap and turn it clockwise until it is snug .,,proc:Task_27952,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27953_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/crGmx6CrIKLaXrFS.standard,proc:Task_27953,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27953_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/KWGmJaBdmpEIAcsK.standard,proc:Task_27953,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27953_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/D2iVPTOvG1XcWjPU.standard,proc:Task_27953,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27953_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_text_0_description_media,ompd:Text,the engine oil dipstick is located on the right side of the engine and has a yellow handle .,,proc:Task_27953,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27953_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_text_1_description_media,ompd:Text,"remove the dipstick , wipe it off with a clean rag or towel , reinsert it , and remove it again .",,proc:Task_27953,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27953_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_text_2_description_media,ompd:Text,"read the initial oil level . it should be somewhere in the crosshatched region . it is acceptable for the level to be slightly high , since it hasn't filled the oil filter and other nooks and crannies of the engine yet .",,proc:Task_27953,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27953_text_3_description,ompd:MaintenanceTaskDescription,task_description_Task_27953,proc:Task_27953_text_3_description_media,ompd:Text,"reinsert the dipstick and add or remove any oil , if necessary .",,proc:Task_27953,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27954_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27954,proc:Task_27954_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/pmAI45AXH5X6qKgj.standard,proc:Task_27954,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27954_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27954,proc:Task_27954_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/iKL4p5wFg4Nhk2Fb.standard,proc:Task_27954,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27954_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27954,proc:Task_27954_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/QSAxFExlgSVgRaD5.standard,proc:Task_27954,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27954_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27954,proc:Task_27954_text_0_description_media,ompd:Text,"place the engine panel back in its original location , making sure the two retaining tabs go through their respective slots in the panel .",,proc:Task_27954,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27954_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27954,proc:Task_27954_text_1_description_media,ompd:Text,"secure the engine panel by pulling the retaining tabs straight out , turning them 90 , and laying them down flat .",,proc:Task_27954,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27955_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27955,proc:Task_27955_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/4PPUx2ULyRJFKjKt.standard,proc:Task_27955,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27955_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27955,proc:Task_27955_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/JtCQfoIykgg5pdCB.standard,proc:Task_27955,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27955_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_27955,proc:Task_27955_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/KTujjyk3ZDMH15ia.standard,proc:Task_27955,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27955_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27955,proc:Task_27955_text_0_description_media,ompd:Text,hold the hood up with one hand and use the other hand to return the hood prop to its original location,,proc:Task_27955,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27955_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27955,proc:Task_27955_text_1_description_media,ompd:Text,close the hood firmly and make sure that the hood latch engages .,,proc:Task_27955,ompd:InstructionalMaintenanceTaskDescription
proc:Task_27956_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27956,proc:Task_27956_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/GZFNlAYADCGeWxKl.standard,proc:Task_27956,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27956_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_27956,proc:Task_27956_text_0_description_media,ompd:Text,allow 12-24 hours for all of the oil to drain out of the old oil filter .,,proc:Task_27956,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_27956_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_27956,proc:Task_27956_text_1_description_media,ompd:Text,"take your old oil and filter to a recycling facility . most auto parts stores and repair shops accept these at no charge to you . in addition , some cities and/or counties have a service where they will collect used oil and filters from your home . for more information , see the american petroleum institute's web page on motor oil collection and recycling .",,proc:Task_27956,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38904_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38904,proc:Task_38904_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/mKRAGGdWP4fICN66.standard,proc:Task_38904,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38904_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_38904,proc:Task_38904_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/gT5IIqDcq6Q63gA6.standard,proc:Task_38904,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38904_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38904,proc:Task_38904_text_0_description_media,ompd:Text,open the rear part of the middle console .,,proc:Task_38904,ompd:InstructionalMaintenanceTaskDescription
proc:Task_38906_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38906,proc:Task_38906_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/VE6SlLrKZmpGLvHC.standard,proc:Task_38906,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38906_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_38906,proc:Task_38906_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/FhdgQvjRRHMht1Pm.standard,proc:Task_38906,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38906_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38906,proc:Task_38906_text_0_description_media,ompd:Text,grip the right side of the console and pull up towards the passenger seat to remove it .,,proc:Task_38906,ompd:InstructionalMaintenanceTaskDescription
proc:Task_38907_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38907,proc:Task_38907_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/viZA2IJ5XCOyyMUX.standard,proc:Task_38907,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38907_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_38907,proc:Task_38907_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/ryCWrfv2OQCJASHN.standard,proc:Task_38907,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_38907_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38907,proc:Task_38907_text_0_description_media,ompd:Text,locate the two bolts under the air conditioning controls at the bottom of the face plate .,,proc:Task_38907,ompd:InstructionalMaintenanceTaskDescription
proc:Task_38907_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_38907,proc:Task_38907_text_1_description_media,ompd:Text,loosen these two bolts with a basic socket wrench suited for 7 mm bolts .,,proc:Task_38907,ompd:InstructionalMaintenanceTaskDescription
proc:Task_38908_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_38908,proc:Task_38908_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/4J4NRmMTQCTb2Xf5.standard,proc:Task_38908,ompd:AuxilliaryMaintenanceTaskDescription
